date,threshold_db,range_bin,bin_lo_m,bin_hi_m,clutter_detections_bin,false_alarm_per_frame_bin
2022-06-06,-5.0,0-50 km,0.0,50000.0,198691,22.999305475170736
2022-06-06,-5.0,50-100 km,50000.0,100000.0,199202,23.058455839796274
2022-06-06,-5.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-06,-5.0,>200 km,200000.0,inf,0,0.0
2022-06-06,0.0,0-50 km,0.0,50000.0,86120,9.96874638268318
2022-06-06,0.0,50-100 km,50000.0,100000.0,86927,10.062159972219007
2022-06-06,0.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-06,0.0,>200 km,200000.0,inf,0,0.0
2022-06-06,3.0,0-50 km,0.0,50000.0,52284,6.052089362194699
2022-06-06,3.0,50-100 km,50000.0,100000.0,52429,6.068873712235212
2022-06-06,3.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-06,3.0,>200 km,200000.0,inf,0,0.0
2022-06-06,6.0,0-50 km,0.0,50000.0,31940,3.697187174441486
2022-06-06,6.0,50-100 km,50000.0,100000.0,31764,3.6768144461164485
2022-06-06,6.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-06,6.0,>200 km,200000.0,inf,0,0.0
2022-06-06,9.0,0-50 km,0.0,50000.0,19219,2.224678782266466
2022-06-06,9.0,50-100 km,50000.0,100000.0,19175,2.219585600185207
2022-06-06,9.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-06,9.0,>200 km,200000.0,inf,0,0.0
2022-06-06,12.0,0-50 km,0.0,50000.0,11771,1.3625419608751013
2022-06-06,12.0,50-100 km,50000.0,100000.0,11789,1.3646255353628893
2022-06-06,12.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-06,12.0,>200 km,200000.0,inf,0,0.0
2022-06-13,-5.0,0-50 km,0.0,50000.0,198317,22.956013427480034
2022-06-13,-5.0,50-100 km,50000.0,100000.0,198630,22.992244472739902
2022-06-13,-5.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-13,-5.0,>200 km,200000.0,inf,0,0.0
2022-06-13,0.0,0-50 km,0.0,50000.0,86788,10.046070147007756
2022-06-13,0.0,50-100 km,50000.0,100000.0,86294,9.988887602731797
2022-06-13,0.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-13,0.0,>200 km,200000.0,inf,0,0.0
2022-06-13,3.0,0-50 km,0.0,50000.0,52297,6.053594165991434
2022-06-13,3.0,50-100 km,50000.0,100000.0,52297,6.053594165991434
2022-06-13,3.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-13,3.0,>200 km,200000.0,inf,0,0.0
2022-06-13,6.0,0-50 km,0.0,50000.0,31855,3.6873480726935988
2022-06-13,6.0,50-100 km,50000.0,100000.0,31900,3.692557008913069
2022-06-13,6.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-13,6.0,>200 km,200000.0,inf,0,0.0
2022-06-13,9.0,0-50 km,0.0,50000.0,19247,2.227919898136358
2022-06-13,9.0,50-100 km,50000.0,100000.0,19354,2.2403055909248755
2022-06-13,9.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-13,9.0,>200 km,200000.0,inf,0,0.0
2022-06-13,12.0,0-50 km,0.0,50000.0,11728,1.3575645329320523
2022-06-13,12.0,50-100 km,50000.0,100000.0,11710,1.3554809584442644
2022-06-13,12.0,100-200 km,100000.0,200000.0,0,0.0
2022-06-13,12.0,>200 km,200000.0,inf,0,0.0
