date,threshold_db,truth_rows,frames,target_detections,clutter_detections,missed_targets,empirical_pd,false_alarm_per_frame,total_detections,target_fraction,clutter_fraction
2022-06-06,-5.0,2304562,8639,1823230,397893,481332,0.791139487677051,46.05776131496701,2221123,0.820859538170556,0.17914046182944393
2022-06-06,0.0,2304562,8639,1532548,173047,772014,0.6650061920659978,20.03090635490219,1705595,0.8985415646739114,0.10145843532608854
2022-06-06,3.0,2304562,8639,1312753,104713,991809,0.5696323205884676,12.12096307442991,1417466,0.926126623142989,0.07387337685701104
2022-06-06,6.0,2304562,8639,1084181,63704,1220381,0.47044991629645894,7.374001620557935,1147885,0.944503151448098,0.05549684855190198
2022-06-06,9.0,2304562,8639,869659,38394,1434903,0.37736411517676677,4.4442643824516725,908053,0.9577183270139519,0.04228167298604817
2022-06-06,12.0,2304562,8639,682125,23560,1622437,0.2959889992111299,2.7271674962379904,705685,0.9666139991639329,0.03338600083606708
2022-06-13,-5.0,2213629,8639,1747079,396947,466550,0.7892374919193776,45.948257900219936,2144026,0.8148590548808643,0.18514094511913567
2022-06-13,0.0,2213629,8639,1477148,173082,736481,0.6672970041501987,20.034957749739554,1650230,0.8951164383146591,0.10488356168534083
2022-06-13,3.0,2213629,8639,1270416,104594,943213,0.5739064676149436,12.107188331982869,1375010,0.9239321895840757,0.07606781041592425
2022-06-13,6.0,2213629,8639,1053768,63755,1159861,0.47603640899175065,7.379905081606667,1117523,0.9429497200505046,0.05705027994949545
2022-06-13,9.0,2213629,8639,847893,38601,1365736,0.38303301953489044,4.468225489061234,886494,0.9564565580816113,0.04354344191838862
2022-06-13,12.0,2213629,8639,668817,23438,1544812,0.302135994785034,2.7130454913763167,692255,0.9661425341817683,0.03385746581823172
2022-06-20,-5.0,2893175,8639,2297262,397755,595913,0.7940280142058466,46.04178724389397,2695017,0.8524109495413201,0.14758905045867984
2022-06-20,0.0,2893175,8639,1934130,172755,959045,0.6685146940644794,19.997106146544738,2106885,0.9180045422507636,0.08199545774923643
2022-06-20,3.0,2893175,8639,1657459,104755,1235716,0.5728858434073293,12.125824748234749,1762214,0.9405548928790715,0.059445107120928556
2022-06-20,6.0,2893175,8639,1371160,63589,1522015,0.4739291608699785,7.360689894663734,1434749,0.9556793557618789,0.04432064423812109
2022-06-20,9.0,2893175,8639,1102756,38744,1790419,0.38115772464506986,4.484778330825327,1141500,0.9660586946999562,0.0339413053000438
2022-06-20,12.0,2893175,8639,866484,23368,2026691,0.29949242614083144,2.7049427017015857,889852,0.9737394533023469,0.026260546697653094
2022-06-27,-5.0,2265516,8639,1791977,397150,473539,0.790979626716386,45.971755990276655,2189127,0.8185806488157151,0.18141935118428487
2022-06-27,0.0,2265516,8639,1501424,172908,764092,0.662729373793873,20.014816529690936,1674332,0.896730158654317,0.10326984134568294
2022-06-27,3.0,2265516,8639,1285885,104629,979631,0.5675903414498066,12.111239726820234,1390514,0.924755162479486,0.075244837520514
2022-06-27,6.0,2265516,8639,1060407,63760,1205109,0.4680642290762899,7.380483852297719,1124167,0.9432824482483474,0.05671755175165256
2022-06-27,9.0,2265516,8639,847724,38541,1417792,0.37418583669239147,4.461280240768607,886265,0.9565130068320423,0.04348699316795766
2022-06-27,12.0,2265516,8639,663909,23614,1601607,0.2930497952784266,2.7334182197013543,687523,0.9656535126824848,0.0343464873175152
