date,threshold_db,range_bin,bin_lo_m,bin_hi_m,truth_rows_bin,target_detections_bin,missed_targets_bin,empirical_pd_bin
2022-06-06,-5.0,0-50 km,0.0,50000.0,902692,883867,18825,0.9791457108293858
2022-06-06,-5.0,50-100 km,50000.0,100000.0,963974,854061,109913,0.8859792898978603
2022-06-06,-5.0,100-200 km,100000.0,200000.0,328702,83897,244805,0.2552372665818888
2022-06-06,-5.0,>200 km,200000.0,inf,109194,1405,107789,0.0128670073447259
2022-06-06,0.0,0-50 km,0.0,50000.0,902692,878470,24222,0.9731669273683604
2022-06-06,0.0,50-100 km,50000.0,100000.0,963974,631293,332681,0.6548859201596724
2022-06-06,0.0,100-200 km,100000.0,200000.0,328702,21653,307049,0.06587425692572604
2022-06-06,0.0,>200 km,200000.0,inf,109194,1132,108062,0.010366869974540725
2022-06-06,3.0,0-50 km,0.0,50000.0,902692,862473,40219,0.9554454897129918
2022-06-06,3.0,50-100 km,50000.0,100000.0,963974,440339,523635,0.4567955152317386
2022-06-06,3.0,100-200 km,100000.0,200000.0,328702,8878,319824,0.02700926675225584
2022-06-06,3.0,>200 km,200000.0,inf,109194,1063,108131,0.009734967122735682
2022-06-06,6.0,0-50 km,0.0,50000.0,902692,820690,82002,0.9091583840335352
2022-06-06,6.0,50-100 km,50000.0,100000.0,963974,257675,706299,0.26730492731131755
2022-06-06,6.0,100-200 km,100000.0,200000.0,328702,4699,324003,0.014295623391400112
2022-06-06,6.0,>200 km,200000.0,inf,109194,1117,108077,0.010229499789365716
2022-06-06,9.0,0-50 km,0.0,50000.0,902692,740697,161995,0.8205423333761682
2022-06-06,9.0,50-100 km,50000.0,100000.0,963974,124214,839760,0.12885617246938194
2022-06-06,9.0,100-200 km,100000.0,200000.0,328702,3646,325056,0.011092113829547737
2022-06-06,9.0,>200 km,200000.0,inf,109194,1102,108092,0.010092129604190706
2022-06-06,12.0,0-50 km,0.0,50000.0,902692,626350,276342,0.6938690051534743
2022-06-06,12.0,50-100 km,50000.0,100000.0,963974,51248,912726,0.053163259589988944
2022-06-06,12.0,100-200 km,100000.0,200000.0,328702,3377,325325,0.010273743390669969
2022-06-06,12.0,>200 km,200000.0,inf,109194,1150,108044,0.010531714196750737
2022-06-13,-5.0,0-50 km,0.0,50000.0,882217,864154,18063,0.979525445553645
2022-06-13,-5.0,50-100 km,50000.0,100000.0,904830,803335,101495,0.8878297580761026
2022-06-13,-5.0,100-200 km,100000.0,200000.0,314807,78150,236657,0.24824733884570546
2022-06-13,-5.0,>200 km,200000.0,inf,111775,1440,110335,0.012883023932006262
2022-06-13,0.0,0-50 km,0.0,50000.0,882217,858542,23675,0.9731641988308999
2022-06-13,0.0,50-100 km,50000.0,100000.0,904830,597248,307582,0.6600665318347093
2022-06-13,0.0,100-200 km,100000.0,200000.0,314807,20198,294609,0.06415994561747357
2022-06-13,0.0,>200 km,200000.0,inf,111775,1160,110615,0.010377991500782823
2022-06-13,3.0,0-50 km,0.0,50000.0,882217,843346,38871,0.9559394117320342
2022-06-13,3.0,50-100 km,50000.0,100000.0,904830,417637,487193,0.4615640507056574
