model,threshold_db,calibration_mode,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_reduction,precision_after,median_score_true_tracks,median_score_false_tracks
gru_ae,-5.0,clean_truth,0.5,1599,1599,0,0.07865223807181505,1.0,1.0,0.0,0.0
gru_ae,0.0,clean_truth,0.5,1712,1712,0,0.08192563525864957,1.0,1.0,0.0,0.0
gru_ae,3.0,clean_truth,0.5,1794,1794,0,0.09287156390743904,1.0,1.0,0.0,0.0
gru_ae,6.0,clean_truth,0.5,2055,2055,0,0.12406423569186187,1.0,1.0,0.07284038545057614,0.0
gru_ae,9.0,clean_truth,0.5,2421,2421,0,0.1757404181184669,,1.0,0.17885770161870557,
gru_ae,12.0,clean_truth,0.5,2787,2787,0,0.24786552828175026,,1.0,0.2767291281430074,
mlp_dae,-5.0,clean_truth,0.5,2245,2245,0,0.11042793900639448,1.0,1.0,0.11448804043750954,0.0
mlp_dae,0.0,clean_truth,0.5,2427,2427,0,0.11614107288127483,1.0,1.0,0.12227816044857143,0.0
mlp_dae,3.0,clean_truth,0.5,2686,2686,0,0.13904850649686804,1.0,1.0,0.14901400073758986,0.0
mlp_dae,6.0,clean_truth,0.5,3011,3011,0,0.18177976334218787,1.0,1.0,0.20550671703936962,0.0
mlp_dae,9.0,clean_truth,0.5,3368,3368,0,0.24448315911730545,,1.0,0.2804743649829162,
mlp_dae,12.0,clean_truth,0.5,3492,3492,0,0.3105656350053362,,1.0,0.3406648097560621,
tcn_ae,-5.0,clean_truth,0.5,0,0,0,0.0,1.0,,0.0,0.0
tcn_ae,0.0,clean_truth,0.5,0,0,0,0.0,1.0,,0.0,0.0
tcn_ae,3.0,clean_truth,0.5,0,0,0,0.0,1.0,,0.0,0.0
tcn_ae,6.0,clean_truth,0.5,0,0,0,0.0,1.0,,0.0,0.0
tcn_ae,9.0,clean_truth,0.5,1,1,0,7.259001161440186e-05,,1.0,0.0,
tcn_ae,12.0,clean_truth,0.5,0,0,0,0.0,,,0.0,
gru_ae,-5.0,track_purity,0.5,20031,20028,3,0.9851451057550418,0.9817073170731707,0.9998502321401828,0.9547817059315785,0.0
gru_ae,0.0,track_purity,0.5,20485,20484,1,0.980236397569029,0.9375,0.9999511837930193,0.9587909907833769,0.0
gru_ae,3.0,track_purity,0.5,18745,18745,0,0.9703887767251643,1.0,1.0,0.9673735119639666,0.0
gru_ae,6.0,track_purity,0.5,16090,16090,0,0.9713837237382275,1.0,1.0,0.9806896930930247,0.1031373942806374
gru_ae,9.0,track_purity,0.5,13350,13350,0,0.9690766550522648,,1.0,0.9952820842852488,
gru_ae,12.0,track_purity,0.5,10845,10845,0,0.9645144076840982,,1.0,1.0,
mlp_dae,-5.0,track_purity,0.5,20074,20074,0,0.9874077717658633,1.0,1.0,0.9710645790032404,0.0
mlp_dae,0.0,track_purity,0.5,20507,20506,1,0.9812891802651098,0.9375,0.9999512361632613,0.9721637626817633,0.0
mlp_dae,3.0,track_purity,0.5,18763,18763,0,0.9713205984366102,1.0,1.0,0.9759361820072108,0.0
mlp_dae,6.0,track_purity,0.5,16086,16086,0,0.971142236174837,1.0,1.0,0.9839072879242141,0.0
mlp_dae,9.0,track_purity,0.5,13307,13307,0,0.9659552845528455,,1.0,0.9944852013478569,
mlp_dae,12.0,track_purity,0.5,10804,10804,0,0.9608680184987549,,1.0,1.0,
tcn_ae,-5.0,track_purity,0.5,19216,19214,2,0.9451057550418102,0.9878048780487805,0.9998959200666112,0.9239141541549589,0.0
tcn_ae,0.0,track_purity,0.5,19368,19366,2,0.9267358951045604,0.875,0.9998967368855844,0.9275544446085031,0.0
tcn_ae,3.0,track_purity,0.5,17866,17866,0,0.9248848164828907,1.0,1.0,0.9426773698926741,0.0038459952259982666
tcn_ae,6.0,track_purity,0.5,15550,15550,0,0.9387829026805119,1.0,1.0,0.9646311671236689,0.24728846546414607
tcn_ae,9.0,track_purity,0.5,13067,13067,0,0.9485336817653891,,1.0,0.9878564554297414,
tcn_ae,12.0,track_purity,0.5,10695,10695,0,0.9511739594450374,,1.0,1.0,
