model,threshold_db,range_bin,stage08_tracks,stage08_true_tracks,stage08_false_tracks,stage12_kept_tracks,stage12_kept_true_tracks,stage12_kept_false_tracks,true_track_retention,false_track_reduction,precision_after,median_sequence_score
gru_ae,-5.0,0-50 km,9070,8906,164,1595,1595,0,0.17909274646305862,1.0,1.0,0.22380783517726122
gru_ae,-5.0,50-100 km,10167,10167,0,3,3,0,0.00029507229271171436,,1.0,0.0
gru_ae,-5.0,100-200 km,1257,1257,0,1,1,0,0.0007955449482895784,,1.0,0.0
gru_ae,0.0,0-50 km,9631,9615,16,1688,1688,0,0.17555902236089443,1.0,1.0,0.23246808985191103
gru_ae,0.0,50-100 km,11232,11232,0,24,24,0,0.002136752136752137,,1.0,0.0
gru_ae,0.0,100-200 km,50,50,0,0,0,0,0.0,,,0.0
gru_ae,3.0,0-50 km,10377,10371,6,1739,1739,0,0.16767910519718446,1.0,1.0,0.22623113190563993
gru_ae,3.0,50-100 km,8946,8946,0,55,55,0,0.0061479991057455845,,1.0,0.0
gru_ae,3.0,100-200 km,0,0,0,0,0,0,,,,
gru_ae,6.0,0-50 km,11522,11521,1,1988,1988,0,0.1725544657581807,1.0,1.0,0.22094531823424102
gru_ae,6.0,50-100 km,5043,5043,0,67,67,0,0.013285742613523697,,1.0,0.0
gru_ae,9.0,0-50 km,12329,12329,0,2394,2394,0,0.19417633222483574,,1.0,0.2283747366619514
gru_ae,9.0,50-100 km,1447,1447,0,27,27,0,0.018659295093296474,,1.0,0.0
gru_ae,12.0,0-50 km,11152,11152,0,2786,2786,0,0.2498206599713056,,1.0,0.2807154185089267
gru_ae,12.0,50-100 km,92,92,0,1,1,0,0.010869565217391304,,1.0,0.0
mlp_dae,-5.0,0-50 km,9070,8906,164,2201,2201,0,0.2471367617336627,1.0,1.0,0.3429339736633896
mlp_dae,-5.0,50-100 km,10167,10167,0,43,43,0,0.004229369528867906,,1.0,0.0
mlp_dae,-5.0,100-200 km,1257,1257,0,1,1,0,0.0007955449482895784,,1.0,0.0
mlp_dae,0.0,0-50 km,9631,9615,16,2344,2344,0,0.2437857514300572,1.0,1.0,0.355680882248277
mlp_dae,0.0,50-100 km,11232,11232,0,83,83,0,0.00738960113960114,,1.0,0.0
mlp_dae,0.0,100-200 km,50,50,0,0,0,0,0.0,,,0.0
mlp_dae,3.0,0-50 km,10377,10371,6,2545,2545,0,0.24539581525407386,1.0,1.0,0.3483326420875992
mlp_dae,3.0,50-100 km,8946,8946,0,141,141,0,0.015761234071093227,,1.0,0.0
mlp_dae,3.0,100-200 km,0,0,0,0,0,0,,,,
mlp_dae,6.0,0-50 km,11522,11521,1,2899,2899,0,0.251627462893846,1.0,1.0,0.33902947571001385
mlp_dae,6.0,50-100 km,5043,5043,0,112,112,0,0.022209002577830657,,1.0,0.0
mlp_dae,9.0,0-50 km,12329,12329,0,3347,3347,0,0.27147376105118015,,1.0,0.32601354504730395
mlp_dae,9.0,50-100 km,1447,1447,0,21,21,0,0.014512785072563926,,1.0,0.0
mlp_dae,12.0,0-50 km,11152,11152,0,3491,3491,0,0.3130380200860832,,1.0,0.3442824103206542
mlp_dae,12.0,50-100 km,92,92,0,1,1,0,0.010869565217391304,,1.0,0.0
tcn_ae,-5.0,0-50 km,9070,8906,164,0,0,0,0.0,1.0,,0.0
tcn_ae,-5.0,50-100 km,10167,10167,0,0,0,0,0.0,,,0.0
tcn_ae,-5.0,100-200 km,1257,1257,0,0,0,0,0.0,,,0.0
tcn_ae,0.0,0-50 km,9631,9615,16,0,0,0,0.0,1.0,,0.0
tcn_ae,0.0,50-100 km,11232,11232,0,0,0,0,0.0,,,0.0
tcn_ae,0.0,100-200 km,50,50,0,0,0,0,0.0,,,0.0
tcn_ae,3.0,0-50 km,10377,10371,6,0,0,0,0.0,1.0,,0.0
tcn_ae,3.0,50-100 km,8946,8946,0,0,0,0,0.0,,,0.0
tcn_ae,3.0,100-200 km,0,0,0,0,0,0,,,,
tcn_ae,6.0,0-50 km,11522,11521,1,0,0,0,0.0,1.0,,0.0
tcn_ae,6.0,50-100 km,5043,5043,0,0,0,0,0.0,,,0.0
tcn_ae,9.0,0-50 km,12329,12329,0,1,1,0,8.110957904128478e-05,,1.0,0.0
tcn_ae,9.0,50-100 km,1447,1447,0,0,0,0,0.0,,,0.0
tcn_ae,12.0,0-50 km,11152,11152,0,0,0,0,0.0,,,0.0
tcn_ae,12.0,50-100 km,92,92,0,0,0,0,0.0,,,0.0
