threshold_db,stage08_true_tracks,stage08_false_tracks,stage09_true_retention,stage09_false_reduction,stage11_true_retention,stage11_false_reduction,stage12_model,stage12_calibration_mode,stage12_true_retention,stage12_false_reduction,stage13_variant,stage13_true_retention,stage13_false_reduction,stage13_precision
-5.0,20330,164,0.9734777150031388,0.7878787878787878,1.0,0.0065167807103291,mlp_dae,track_purity,0.9874077717658633,1.0,elbo,0.9829808165272995,0.9817073170731707,0.9998499024365838
0.0,20897,16,0.9854028932382012,0.6365336658354115,0.9999672710610722,0.0006234413965087,mlp_dae,track_purity,0.9812891802651098,0.9375,elbo,0.9768387806862229,0.9375,0.9999510140099931
3.0,19317,6,0.9843519160611452,0.5523520485584219,1.0,0.0,mlp_dae,track_purity,0.9713205984366102,1.0,elbo,0.9666097220065227,1.0,1.0
6.0,16564,1,0.981834265314504,0.4781021897810219,1.0,0.0,mlp_dae,track_purity,0.971142236174837,1.0,elbo,0.9690292199951702,1.0,1.0
9.0,13776,0,0.976358312547446,0.4230769230769231,0.9999638506308064,0.0,mlp_dae,track_purity,0.9659552845528456,,elbo,0.9658826945412311,,1.0
12.0,11244,0,0.9712359353793616,0.3877551020408163,1.0,0.0,mlp_dae,track_purity,0.9608680184987548,,elbo,0.9618463180362861,,1.0
-5.0,20330,164,0.9734777150031388,0.7878787878787878,1.0,0.0065167807103291,mlp_dae,track_purity,0.9874077717658633,1.0,reconstruction,0.9830300049188392,0.9817073170731707,0.9998499099459676
0.0,20897,16,0.9854028932382012,0.6365336658354115,0.9999672710610722,0.0006234413965087,mlp_dae,track_purity,0.9812891802651098,0.9375,reconstruction,0.976216681820357,0.9375,0.9999509827949611
3.0,19317,6,0.9843519160611452,0.5523520485584219,1.0,0.0,mlp_dae,track_purity,0.9713205984366102,1.0,reconstruction,0.9666614898793808,1.0,1.0
6.0,16564,1,0.981834265314504,0.4781021897810219,1.0,0.0,mlp_dae,track_purity,0.971142236174837,1.0,reconstruction,0.968425501086694,1.0,1.0
9.0,13776,0,0.976358312547446,0.4230769230769231,0.9999638506308064,0.0,mlp_dae,track_purity,0.9659552845528456,,reconstruction,0.965664924506388,,1.0
12.0,11244,0,0.9712359353793616,0.3877551020408163,1.0,0.0,mlp_dae,track_purity,0.9608680184987548,,reconstruction,0.9623799359658485,,1.0
