variant,threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
elbo,-5.0,0.1,20238,20229,9,0.9950319724545007,0.054878048780487805,0.9451219512195121,0.9995552920249037
elbo,-5.0,0.2,20202,20195,7,0.9933595671421545,0.042682926829268296,0.9573170731707317,0.9996534996534997
elbo,-5.0,0.3,20172,20165,7,0.9918839153959665,0.042682926829268296,0.9573170731707317,0.9996529843347214
elbo,-5.0,0.4,20106,20102,4,0.9887850467289719,0.024390243902439025,0.975609756097561,0.9998010544116184
elbo,-5.0,0.5,19987,19984,3,0.9829808165272995,0.018292682926829267,0.9817073170731707,0.9998499024365838
elbo,-5.0,0.6,19825,19825,0,0.9751598622725037,0.0,1.0,1.0
elbo,-5.0,0.7,19465,19465,0,0.9574520413182489,0.0,1.0,1.0
elbo,-5.0,0.8,18546,18546,0,0.9122479094933595,0.0,1.0,1.0
elbo,-5.0,0.9,14781,14781,0,0.7270536153467781,0.0,1.0,1.0
elbo,0.0,0.1,20781,20778,3,0.9943054026893813,0.1875,0.8125,0.999855637361051
elbo,0.0,0.2,20741,20739,2,0.9924391060917835,0.125,0.875,0.9999035726339135
elbo,0.0,0.3,20681,20679,2,0.9895678805570177,0.125,0.875,0.9999032928775204
elbo,0.0,0.4,20575,20574,1,0.9845432358711776,0.0625,0.9375,0.999951397326853
elbo,0.0,0.5,20414,20413,1,0.9768387806862229,0.0625,0.9375,0.9999510140099931
elbo,0.0,0.6,20119,20118,1,0.9627219218069579,0.0625,0.9375,0.999950295740345
elbo,0.0,0.7,19563,19562,1,0.936115231851462,0.0625,0.9375,0.9999488830956397
elbo,0.0,0.8,18200,18199,1,0.8708905584533665,0.0625,0.9375,0.9999450549450549
elbo,0.0,0.9,14863,14862,1,0.7112025649614777,0.0625,0.9375,0.999932718831999
elbo,3.0,0.1,19094,19093,1,0.9884039964797846,0.16666666666666666,0.8333333333333334,0.9999476275269719
elbo,3.0,0.2,19050,19049,1,0.986126210074028,0.16666666666666666,0.8333333333333334,0.9999475065616797
elbo,3.0,0.3,18967,18967,0,0.9818812444996635,0.0,1.0,1.0
elbo,3.0,0.4,18868,18868,0,0.9767562250867112,0.0,1.0,1.0
elbo,3.0,0.5,18672,18672,0,0.9666097220065227,0.0,1.0,1.0
elbo,3.0,0.6,18387,18387,0,0.951855878241963,0.0,1.0,1.0
elbo,3.0,0.7,17870,17870,0,0.9250918879743232,0.0,1.0,1.0
elbo,3.0,0.8,16717,16717,0,0.8654035305689289,0.0,1.0,1.0
elbo,3.0,0.9,13965,13965,0,0.722938344463426,0.0,1.0,1.0
elbo,6.0,0.1,16383,16383,0,0.9890726877565805,0.0,1.0,1.0
elbo,6.0,0.2,16325,16325,0,0.9855711180874185,0.0,1.0,1.0
elbo,6.0,0.3,16254,16254,0,0.9812847138372374,0.0,1.0,1.0
elbo,6.0,0.4,16169,16169,0,0.9761531031151895,0.0,1.0,1.0
elbo,6.0,0.5,16051,16051,0,0.9690292199951702,0.0,1.0,1.0
elbo,6.0,0.6,15828,15828,0,0.9555662883361506,0.0,1.0,1.0
elbo,6.0,0.7,15431,15431,0,0.9315986476696451,0.0,1.0,1.0
elbo,6.0,0.8,14578,14578,0,0.880101424776624,0.0,1.0,1.0
elbo,6.0,0.9,12434,12434,0,0.7506640907993238,0.0,1.0,1.0
elbo,9.0,0.1,13603,13603,0,0.9874419279907085,,,1.0
elbo,9.0,0.2,13557,13557,0,0.984102787456446,,,1.0
elbo,9.0,0.3,13499,13499,0,0.9798925667828107,,,1.0
elbo,9.0,0.4,13411,13411,0,0.9735046457607434,,,1.0
elbo,9.0,0.5,13306,13306,0,0.9658826945412311,,,1.0
elbo,9.0,0.6,13132,13132,0,0.9532520325203252,,,1.0
elbo,9.0,0.7,12858,12858,0,0.9333623693379791,,,1.0
elbo,9.0,0.8,12305,12305,0,0.8932200929152149,,,1.0
elbo,9.0,0.9,10947,10947,0,0.7946428571428571,,,1.0
elbo,12.0,0.1,11033,11033,0,0.9812344361437211,,,1.0
elbo,12.0,0.2,11005,11005,0,0.9787442191390964,,,1.0
elbo,12.0,0.3,10961,10961,0,0.9748310209889719,,,1.0
elbo,12.0,0.4,10901,10901,0,0.9694948416933475,,,1.0
elbo,12.0,0.5,10815,10815,0,0.9618463180362861,,,1.0
elbo,12.0,0.6,10699,10699,0,0.9515297047314123,,,1.0
elbo,12.0,0.7,10492,10492,0,0.9331198861615083,,,1.0
