variant,threshold_db,is_true_track,n_windows,mu_norm_p50,mu_norm_p90,mu_dim_std_mean,kl_p50,kl_p90
elbo,-5.0,False,232,20.985193252563477,35.32683715820316,0.663098502449873,404.9543151855469,866.3610473632816
elbo,-5.0,True,330669,5.661755323410034,9.741695976257326,1.1500060643548162,126.97065734863281,173.3099304199219
elbo,0.0,False,22,18.652177810668945,34.61722469329834,0.2228849157691002,312.9001007080078,757.6285400390625
elbo,0.0,True,273217,5.932863712310791,10.329401206970216,1.0548978670108784,127.95191192626953,180.09483337402347
elbo,3.0,False,7,21.19892120361328,47.87402153015137,0.43627452850341797,461.1919708251953,1307.1326293945312
elbo,3.0,True,226710,6.065047740936279,10.687919998168946,1.0190501651029171,127.46233367919922,183.53348083496098
elbo,6.0,False,1,24.01036834716797,24.01036834716797,0.0,432.2496337890625,432.2496337890625
elbo,6.0,True,180403,6.073091983795166,10.721884632110596,0.9700289148458592,125.13942337036133,181.43807525634767
elbo,9.0,True,139850,6.0279107093811035,10.667647361755371,0.9230094895493693,122.14750289916992,179.16856384277344
elbo,12.0,True,106331,6.047915697097778,10.859542179107669,0.9175969171302996,119.74719619750977,180.94870147705083
reconstruction,-5.0,False,232,20.985193252563477,35.32683715820316,0.663098502449873,404.9543151855469,866.3610473632816
reconstruction,-5.0,True,330669,5.661755323410034,9.741695976257326,1.1500060643548162,126.97065734863281,173.3099304199219
reconstruction,0.0,False,22,18.652177810668945,34.61722469329834,0.2228849157691002,312.9001007080078,757.6285400390625
reconstruction,0.0,True,273217,5.932863712310791,10.329401206970216,1.0548978670108784,127.95191192626953,180.09483337402347
reconstruction,3.0,False,7,21.19892120361328,47.87402153015137,0.43627452850341797,461.1919708251953,1307.1326293945312
reconstruction,3.0,True,226710,6.065047740936279,10.687919998168946,1.0190501651029171,127.46233367919922,183.53348083496098
reconstruction,6.0,False,1,24.01036834716797,24.01036834716797,0.0,432.2496337890625,432.2496337890625
reconstruction,6.0,True,180403,6.073091983795166,10.721884632110596,0.9700289148458592,125.13942337036133,181.43807525634767
reconstruction,9.0,True,139850,6.0279107093811035,10.667647361755371,0.9230094895493693,122.14750289916992,179.16856384277344
reconstruction,12.0,True,106331,6.047915697097778,10.859542179107669,0.9175969171302996,119.74719619750977,180.94870147705083
