threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_reduction,precision_after
-5.0,0.1,19507,19380,127,0.9532710280373832,0.22560975609756095,0.9934895165837905
-5.0,0.2,19302,19181,121,0.9434825381210035,0.2621951219512195,0.9937312195627396
-5.0,0.3,19036,18922,114,0.9307427447122479,0.30487804878048785,0.9940113469216222
-5.0,0.4,18601,18496,105,0.9097884899163797,0.3597560975609756,0.9943551421966561
-5.0,0.5,17948,17853,95,0.8781603541564191,0.4207317073170732,0.9947069311343882
-5.0,0.6,16816,16742,74,0.8235120511559272,0.5487804878048781,0.9955994291151284
-5.0,0.7,15033,14973,60,0.7364977865223807,0.6341463414634146,0.9960087806824985
-5.0,0.8,12255,12210,45,0.6005902606984752,0.725609756097561,0.996328029375765
-5.0,0.9,8768,8740,28,0.42990654205607476,0.8292682926829268,0.9968065693430657
0.0,0.1,19879,19869,10,0.95080633583768,0.375,0.9994969565873535
0.0,0.2,19586,19577,9,0.9368330382351534,0.4375,0.9995404881037476
0.0,0.3,19183,19175,8,0.9175958271522228,0.5,0.9995829640827816
0.0,0.4,18617,18611,6,0.8906063071254247,0.625,0.9996777139173874
0.0,0.5,17847,17841,6,0.8537589127625975,0.625,0.9996638090435367
0.0,0.6,16829,16823,6,0.8050437861894052,0.625,0.9996434725770991
0.0,0.7,15254,15249,5,0.7297219696607169,0.6875,0.9996722171233775
0.0,0.8,12844,12839,5,0.614394410680959,0.6875,0.9996107131734662
0.0,0.9,9326,9323,3,0.4461405943436857,0.8125,0.9996783186789621
3.0,0.1,18495,18490,5,0.9571879691463477,0.16666666666666663,0.9997296566639632
3.0,0.2,18259,18254,5,0.9449707511518352,0.16666666666666663,0.9997261624404403
3.0,0.3,17947,17942,5,0.9288191748201067,0.16666666666666663,0.999721401905611
3.0,0.4,17516,17511,5,0.9065072216182637,0.16666666666666663,0.9997145467001598
3.0,0.5,16910,16906,4,0.8751876585391106,0.33333333333333337,0.9997634535777646
3.0,0.6,16028,16024,4,0.8295283946782627,0.33333333333333337,0.9997504367357125
3.0,0.7,14763,14761,2,0.764145571258477,0.6666666666666667,0.9998645261803156
3.0,0.8,12805,12804,1,0.6628358440751669,0.8333333333333334,0.9999219055056618
3.0,0.9,9707,9706,1,0.50245897396076,0.8333333333333334,0.9998969815596992
6.0,0.1,16059,16058,1,0.9694518232311036,0.0,0.9999377296220188
6.0,0.2,15876,15875,1,0.9584037672059889,0.0,0.9999370118417737
6.0,0.3,15690,15689,1,0.9471745955083313,0.0,0.9999362651370299
6.0,0.4,15399,15399,0,0.9296667471625212,1.0,1.0
6.0,0.5,15027,15027,0,0.907208403767206,1.0,1.0
6.0,0.6,14492,14492,0,0.8749094421637286,1.0,1.0
6.0,0.7,13616,13616,0,0.8220236657812122,1.0,1.0
6.0,0.8,12232,12232,0,0.7384689688481043,1.0,1.0
6.0,0.9,9842,9842,0,0.5941801497222893,1.0,1.0
