model,threshold_db,range_bin,stage08_tracks,stage08_true_tracks,stage08_false_tracks,stage12_kept_tracks,stage12_kept_true_tracks,stage12_kept_false_tracks,true_track_retention,false_track_reduction,precision_after,notes
mlp_dae,-5.0,0-50 km,9070,8906,164,8868,8868,0,0.9957332135638896,1.0,1.0,
mlp_dae,-5.0,100-200 km,1257,1257,0,1098,1098,0,0.8735083532219571,,1.0,
mlp_dae,-5.0,50-100 km,10167,10167,0,10108,10108,0,0.9941969115766696,,1.0,
mlp_dae,0.0,0-50 km,9631,9615,16,9587,9586,1,0.9969838793551742,0.9375,0.9998956920830292,
mlp_dae,0.0,100-200 km,50,50,0,41,41,0,0.82,,1.0,
mlp_dae,0.0,50-100 km,11232,11232,0,10879,10879,0,0.9685719373219374,,1.0,
mlp_dae,3.0,0-50 km,10377,10371,6,10322,10322,0,0.9952752868575836,1.0,1.0,
mlp_dae,3.0,100-200 km,0,0,0,0,0,0,,,,
mlp_dae,3.0,50-100 km,8946,8946,0,8441,8441,0,0.9435501900290632,,1.0,
mlp_dae,6.0,0-50 km,11522,11521,1,11458,11458,0,0.9945317246766774,1.0,1.0,
mlp_dae,6.0,50-100 km,5043,5043,0,4628,4628,0,0.9177077136625024,,1.0,
